Date,BIL,TIP,IEI,IEF,TLH,TLT,SHY
2012-11-09,91.63999938964844,122.7699966430664,123.66000366210938,108.77999877929688,137.88999938964844,125.9800033569336,84.43000030517578
2012-11-12,91.63999938964844,123.0999984741211,123.72000122070312,108.8499984741211,138.08999633789062,126.19000244140625,84.43000030517578
2012-11-13,91.63999938964844,122.95999908447266,123.7699966430664,108.9800033569336,138.19000244140625,126.61000061035156,84.44000244140625
2012-11-14,91.63999938964844,122.83999633789062,123.75,109.01000213623047,138.33999633789062,126.7300033569336,84.45999908447266
2012-11-15,91.63999938964844,122.75,123.77999877929688,108.95999908447266,138.35000610351562,126.4800033569336,84.45999908447266
2012-11-16,91.63999938964844,122.83000183105469,123.83000183105469,109.02999877929688,138.19000244140625,126.37000274658203,84.45999908447266
2012-11-19,91.63999938964844,122.5999984741211,123.72000122070312,108.80999755859375,137.8000030517578,125.66000366210938,84.44999694824219
2012-11-20,91.62000274658203,122.25,123.54000091552734,108.36000061035156,137.0,124.4000015258789,84.43000030517578
2012-11-21,91.62000274658203,121.95999908447266,123.44999694824219,108.19999694824219,136.77999877929688,124.33000183105469,84.41999816894531
2012-11-23,91.62000274658203,121.87000274658203,123.41999816894531,108.13999938964844,136.7100067138672,124.20999908447266,84.41999816894531
2012-11-26,91.62000274658203,122.20999908447266,123.51000213623047,108.31999969482422,137.07000732421875,124.80000305175781,84.41000366210938
2012-11-27,91.62000274658203,122.20999908447266,123.62999725341797,108.56999969482422,137.42999267578125,125.29000091552734,84.41999816894531
2012-11-28,91.62000274658203,122.5,123.72000122070312,108.70999908447266,137.58999633789062,125.11000061035156,84.43000030517578
2012-11-29,91.62000274658203,122.72000122070312,123.76000213623047,108.81999969482422,137.7100067138672,125.12999725341797,84.43000030517578
2012-11-30,91.62000274658203,122.91000366210938,123.83999633789062,108.80000305175781,137.64999389648438,124.79000091552734,84.44000244140625
2012-12-03,91.62000274658203,122.79000091552734,123.75,108.62000274658203,137.3800048828125,124.66000366210938,84.43000030517578
2012-12-04,91.62000274658203,122.83000183105469,123.79000091552734,108.80999755859375,137.6999969482422,125.37999725341797,84.43000030517578
2012-12-05,91.62000274658203,123.05000305175781,123.87000274658203,108.9000015258789,137.75999450683594,125.31999969482422,84.44999694824219
2012-12-06,91.62000274658203,123.30000305175781,123.88999938964844,108.95999908447266,137.8699951171875,125.58999633789062,84.44999694824219
2012-12-07,91.62000274658203,123.1500015258789,123.79000091552734,108.6500015258789,137.16000366210938,124.43000030517578,84.44999694824219
2012-12-10,91.62000274658203,123.30000305175781,123.83000183105469,108.75,137.3699951171875,124.9800033569336,84.44999694824219
2012-12-11,91.62000274658203,122.94000244140625,123.73999786376953,108.54000091552734,136.8800048828125,124.02999877929688,84.44999694824219
2012-12-12,91.62000274658203,122.55999755859375,123.5999984741211,108.08000183105469,136.00999450683594,122.58999633789062,84.44000244140625
2012-12-13,91.62000274658203,122.22000122070312,123.41999816894531,107.87000274658203,135.88999938964844,122.68000030517578,84.44000244140625
2012-12-14,91.62000274658203,122.3499984741211,123.48999786376953,108.11000061035156,136.32000732421875,123.5999984741211,84.45999908447266
2012-12-17,91.62000274658203,121.88999938964844,123.22000122070312,107.54000091552734,135.22999572753906,121.75,84.44000244140625
2012-12-18,91.63999938964844,121.54000091552734,123.0,107.12000274658203,134.4199981689453,120.51000213623047,84.38999938964844
2012-12-19,91.62000274658203,121.63999938964844,123.11000061035156,107.2699966430664,134.6699981689453,120.91000366210938,84.41000366210938
2012-12-20,91.62000274658203,121.69999694824219,123.08000183105469,107.33999633789062,134.72999572753906,120.93000030517578,84.4000015258789
2012-12-21,91.62000274658203,122.04000091552734,123.23999786376953,107.62999725341797,135.41000366210938,122.25,84.41000366210938
2012-12-24,91.62000274658203,121.9000015258789,123.19000244140625,107.5199966430664,135.35000610351562,122.02999877929688,84.41000366210938
2012-12-26,91.62000274658203,122.05000305175781,123.19000244140625,107.58999633789062,135.36000061035156,122.19999694824219,84.38999938964844
2012-12-27,91.62000274658203,122.19000244140625,123.33000183105469,107.80999755859375,135.6699981689453,122.61000061035156,84.41999816894531
2012-12-28,91.63999938964844,122.1500015258789,123.43000030517578,108.05999755859375,136.1999969482422,123.30999755859375,84.41999816894531
2012-12-31,91.62000274658203,121.41000366210938,123.22000122070312,107.48999786376953,134.86000061035156,121.18000030517578,84.41999816894531
2013-01-02,91.62000274658203,121.33999633789062,123.13999938964844,107.0,133.9499969482422,119.55999755859375,84.4000015258789
2013-01-03,91.62000274658203,120.51000213623047,122.86000061035156,106.44999694824219,133.0399932861328,117.94000244140625,84.4000015258789
2013-01-04,91.63999938964844,120.45999908447266,122.86000061035156,106.5,133.13999938964844,118.4000015258789,84.41000366210938
2013-01-07,91.5999984741211,120.87000274658203,122.9000015258789,106.55999755859375,133.16000366210938,118.44999694824219,84.41000366210938
2013-01-08,91.5999984741211,121.04000091552734,123.04000091552734,106.81999969482422,133.61000061035156,119.2300033569336,84.41999816894531
2013-01-09,91.5999984741211,121.26000213623047,123.12999725341797,106.87999725341797,133.64999389648438,119.12000274658203,84.44999694824219
2013-01-10,91.5999984741211,121.1500015258789,122.9800033569336,106.56999969482422,133.22999572753906,118.79000091552734,84.44000244140625
2013-01-11,91.5999984741211,121.26000213623047,123.13999938964844,106.91000366210938,133.77000427246094,119.8499984741211,84.43000030517578
2013-01-14,91.5999984741211,121.30000305175781,123.13999938964844,106.87000274658203,133.75,119.5199966430664,84.43000030517578
2013-01-15,91.5999984741211,121.37999725341797,123.2300033569336,107.12999725341797,134.11000061035156,120.06999969482422,84.44000244140625
2013-01-16,91.5999984741211,121.3499984741211,123.30999755859375,107.2699966430664,134.33999633789062,120.31999969482422,84.44000244140625
2013-01-17,91.62000274658203,121.13999938964844,123.05999755859375,106.77999877929688,133.5800018310547,119.12000274658203,84.43000030517578
2013-01-18,91.5999984741211,121.33999633789062,123.19000244140625,107.08000183105469,134.07000732421875,120.04000091552734,84.43000030517578
2013-01-22,91.5999984741211,121.31999969482422,123.26000213623047,107.16999816894531,134.24000549316406,120.2699966430664,84.44999694824219
2013-01-23,91.5999984741211,121.33999633789062,123.29000091552734,107.22000122070312,134.25999450683594,120.08999633789062,84.44999694824219
2013-01-24,91.62000274658203,121.2699966430664,123.18000030517578,107.04000091552734,134.00999450683594,119.66999816894531,84.44999694824219
2013-01-25,91.5999984741211,120.76000213623047,122.79000091552734,106.33000183105469,132.82000732421875,118.02999877929688,84.41000366210938
2013-01-28,91.5999984741211,120.5999984741211,122.69000244140625,106.11000061035156,132.4499969482422,117.5999984741211,84.37999725341797
2013-01-29,91.5999984741211,120.37999725341797,122.6500015258789,105.94999694824219,132.07000732421875,116.94999694824219,84.38999938964844
2013-01-30,91.5999984741211,120.41999816894531,122.7300033569336,106.01000213623047,132.02000427246094,116.75,84.41999816894531
2013-01-31,91.62000274658203,120.77999877929688,122.73999786376953,106.0999984741211,132.1699981689453,117.31999969482422,84.43000030517578
2013-02-01,91.5999984741211,120.19000244140625,122.55999755859375,105.5999984741211,131.1300048828125,115.54000091552734,84.4000015258789
2013-02-04,91.5999984741211,120.97000122070312,122.88999938964844,106.20999908447266,132.07000732421875,117.0199966430664,84.41999816894531
2013-02-05,91.62000274658203,120.62000274658203,122.72000122070312,105.83000183105469,131.5399932861328,115.9800033569336,84.41999816894531
2013-02-06,91.62000274658203,120.76000213623047,122.87999725341797,106.1500015258789,132.0800018310547,116.93000030517578,84.44000244140625
2013-02-07,91.62000274658203,120.6500015258789,122.91999816894531,106.19999694824219,132.02000427246094,116.66999816894531,84.44000244140625
2013-02-08,91.62000274658203,120.61000061035156,122.93000030517578,106.27999877929688,132.19000244140625,117.12000274658203,84.44999694824219
