Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ
2009-01-30,24.92690277,13.47588634,22.87572098,21.75278664,29.12626076,35.17208862,32.30298996,6.205011845,16.82482147,7.980005264,15.5672245,44.15439224,7.644338608,10.41056538,10.71346283,16.53987122,5.536114216,10.11573124,6.307306767,7.281880856,16.9212532
2009-02-02,24.90769196,13.70547581,23.08593941,21.30199623,29.30096436,35.55948257,33.30989456,6.233231068,16.50626755,8.090971947,15.28670025,43.48388672,7.757833481,10.58655262,10.63844109,16.43100548,5.654066563,10.19857788,6.316343307,7.492763519,17.33218384
2009-02-03,24.60030746,14.06483364,23.50315475,21.37576294,29.92212105,36.33427048,34.22609711,6.300643444,16.72423744,8.64577961,15.57129574,45.26077652,7.878004551,10.71516228,10.03824329,16.80114174,5.65150404,10.38912868,6.325379848,7.557318687,17.1576786
2009-02-04,24.83084488,14.0149231,23.59048462,22.03964615,30.08711624,36.108284,33.71812439,6.355512619,16.69908333,8.516322136,15.58755398,44.83331299,7.929189682,10.50532913,9.955719948,17.19305229,5.60278511,10.22343349,6.244053364,7.69073391,16.74112129
2009-02-05,24.90769196,14.464118,23.9139061,22.9002552,30.83442879,36.2535553,34.71596527,6.396271706,16.86675453,8.65502739,15.68919659,45.78882217,8.082747459,10.57978535,10.22580624,17.93331337,5.751509666,10.289711,6.298268318,7.970476151,16.38648224
2009-02-06,24.69636154,14.84344006,24.09178734,23.65430641,31.76617432,36.81849289,35.09697342,6.484063148,16.91704369,9.37627697,16.07543564,48.05185699,8.363149643,10.92499733,11.39618397,18.69535637,5.854076385,10.46369457,6.460922718,8.129712105,17.52356911
2009-02-09,24.5330677,14.99317265,23.99153137,23.73627472,31.63999367,36.47145462,35.16953659,6.42919445,17.10566902,9.182096481,16.37628746,48.085392,8.400981903,10.94530487,11.61375904,18.71712112,6.005364895,10.34770679,6.433815002,8.159836769,17.78251457
2009-02-10,24.82123947,14.31438637,23.3705616,22.48224449,30.32975006,35.2769928,33.93582535,6.252041817,16.35118294,8.368373871,15.57535744,45.67148972,8.064941406,10.55947685,9.970728874,17.33094025,5.433546066,10.09087753,6.180799961,7.789718628,16.20071793
2009-02-11,24.8596611,14.31438637,23.4675808,22.18717575,30.62091064,35.80965805,34.33495331,6.32729578,16.32185364,8.44234848,15.61601257,45.10153961,8.069392204,10.51209545,10.64594078,17.78090668,5.643811226,10.14887238,6.162725449,7.673519135,16.51032448
2009-02-12,24.95571899,14.36429787,23.91714096,22.01505661,30.69855499,36.18899918,34.83388138,6.402544022,16.34280396,8.201932907,15.5509634,44.8752327,8.111676216,10.56624794,10.33834553,17.96234512,5.743816853,10.289711,6.216943741,7.720861435,16.22886467
2009-02-13,24.87887192,14.37427998,23.67457008,22.0560379,30.64032364,35.9065094,34.57988739,6.41665411,16.51885414,8.248164177,15.45338058,44.36394882,8.122802734,10.64747238,9.768158913,17.75187874,5.589962959,10.27314281,6.253089905,7.794023037,15.23250294
2009-02-17,25.36876488,13.78533363,23.3349762,20.22828674,29.58242416,35.13173676,33.65461349,6.313182354,15.85659313,7.887537956,14.76223183,42.1176796,7.760056019,10.24133682,8.770334244,16.45278358,5.107892513,10.01631641,5.900675774,7.286185741,14.15170288
2009-02-18,25.48403549,13.80529785,23.17326546,20.28565788,29.49507141,34.80082703,33.48226166,6.255177975,15.75179863,7.563901424,14.68905449,41.51419067,7.764509201,10.01119518,8.777840614,16.44552422,5.184818268,9.916901588,5.783203602,7.290489197,14.35435486
2009-02-19,25.33994865,13.77535152,22.84013939,20.64628983,29.07773972,34.72011948,33.53668594,6.230093479,15.6679697,6.972102642,14.41259384,40.66764832,7.541967392,10.08565807,8.155138016,16.06813622,4.877114773,9.966604233,5.710913658,6.941887856,13.73514938
2009-02-20,24.98453712,13.81527901,22.64608574,20.01518631,28.98068428,34.34080124,33.24639893,6.117219448,15.27815914,6.9166255,14.16865158,40.50840378,7.535293102,10.20749664,8.147634506,16.16973877,4.813008308,9.759482384,5.665731907,7.015050888,14.60203552
2009-02-23,25.21507263,13.40601254,22.28061485,18.90869331,28.10718918,33.57408142,30.97857666,6.00434351,14.58655357,6.824155807,13.50596619,38.88236237,7.254888058,9.963817596,8.200153351,15.226264,4.569411278,9.585506439,5.466936111,6.73961401,13.50434971
2009-02-24,25.08059692,14.04486847,22.62022209,20.07254601,29.00979996,34.18746948,31.89476776,6.132896423,14.93445015,7.38820982,13.94098377,40.6844101,7.455177307,10.36994648,9.220484734,16.80114174,4.987374783,9.734631538,5.801277161,7.062392235,14.6470747
2009-02-25,25.3879776,13.93506527,22.33560371,19.73650551,28.65069199,33.49337769,30.8878727,5.990233421,14.40631199,7.175533772,13.65638638,39.15057373,7.468528271,10.36318302,9.460560799,16.46003914,4.759160995,9.635216713,5.738023281,7.307703495,14.36561584
2009-02-26,25.36876488,13.86519051,21.22949791,20.138134,28.03925323,32.15364456,28.06668663,5.714318752,14.03746033,7.120052814,13.44904327,38.00229263,7.383963108,10.21426678,9.91070652,16.3874588,4.784802914,9.419807434,5.602478981,7.195807457,13.62819767
2009-02-27,25.43600655,13.89513683,20.39830208,20.00698662,28.00042725,31.03181839,27.33190155,5.486998558,13.593153,6.870388985,13.17664719,37.55807877,7.377287865,10.2210331,9.137957573,15.77783585,4.45914793,9.411523819,5.683804512,7.088213921,13.44806194
2009-03-02,25.69536209,13.2063694,19.45389748,18.21201324,27.23369026,29.44995308,24.94613647,5.167181969,12.69616699,6.528254509,12.33506393,35.04359055,7.150292397,9.733674049,8.455236435,14.85612774,4.225805759,9.146410942,5.331391811,6.774043083,12.60931396
2009-03-03,25.68575478,13.28622723,19.57680321,18.343153,27.03957939,29.28855133,24.94613647,5.14837122,12.50335693,6.241604805,12.17244148,34.46525192,7.128038883,9.401996613,8.387714386,14.80532551,4.028362274,9.104985237,5.304281712,6.855813026,12.65997696
2009-03-04,25.54166985,13.59567261,19.96815109,19.60536766,27.6024971,30.05526543,25.83513069,5.278491974,12.79257202,6.380307198,12.48142529,36.14156723,7.328324318,9.801361084,8.065110207,15.18997097,4.164266109,9.229262352,5.412717819,7.14846611,12.8626318
2009-03-05,25.67614937,13.16644001,19.16605377,18.4661026,26.99105072,28.7074585,24.20229912,5.054307461,12.17641735,6.102900505,11.95289516,33.66898727,7.105782509,9.496760368,7.157313824,14.38439178,3.78732729,8.864728928,5.141631126,7.062392235,12.06892014
2009-03-06,25.55127525,13.05663681,19.32777405,18.5316658,27.04928589,29.32889557,24.71935654,5.051173687,12.13449955,5.991940498,11.90004349,33.00683975,7.056825638,9.415530205,6.984759331,13.9634552,3.802713871,8.889583588,5.11452198,6.937584877,11.90567017
