Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ
2009-02-13,25.89999962,14.39999962,24.39999962,26.90999985,31.56999969,44.49000168,38.11999893,6.821667194,19.70499992,8.920000076,19.00499916,52.93000031,9.125,15.72999954,13.02000046,24.45999908,7.266666889,12.39999962,6.920000076,9.055000305,27.05999947
2009-02-17,26.40999985,13.81000042,24.04999924,24.68000031,30.47999954,43.52999878,37.09999847,6.711667061,18.91500092,8.529999733,18.15500069,50.25,8.717499733,15.13000011,11.68999958,22.67000008,6.639999866,12.09000015,6.53000021,8.465000153,25.13999939
2009-02-18,26.53000069,13.82999992,23.88333321,24.75,30.38999939,43.11999893,36.90999985,6.650000095,18.79000092,8.180000305,18.06500053,49.52999878,8.722499847,14.78999996,11.69999981,22.65999985,6.739999771,11.97000027,6.400000095,8.470000267,25.5
2009-02-19,26.37999916,13.80000019,23.54000092,25.19000053,29.95999908,43.02000046,36.97000122,6.623332977,18.69000053,7.539999962,17.72500038,48.52000046,8.472499847,14.89999962,10.86999989,22.13999939,6.340000153,12.02999973,6.320000172,8.06499958,24.39999962
2009-02-20,26.01000023,13.84000015,23.34000015,24.42000008,29.86000061,42.54999924,36.65000153,6.503333092,18.22500038,7.480000019,17.42499924,48.33000183,8.465000153,15.07999992,10.85999966,22.28000069,6.256667137,11.77999973,6.269999981,8.149999619,25.94000053
2009-02-23,26.25,13.43000031,22.96333313,23.06999969,28.95999908,41.59999847,34.15000153,6.383333206,17.39999962,7.380000114,16.61000061,46.38999939,8.149999619,14.72000027,10.93000031,20.97999954,5.940000057,11.56999969,6.050000191,7.829999924,23.98999977
2009-02-24,26.11000061,14.06999969,23.31333351,24.48999977,29.88999939,42.36000061,35.15999985,6.519999981,17.81500053,7.989999771,17.14500046,48.54000092,8.375,15.31999969,12.28999996,23.14999962,6.483333111,11.75,6.420000076,8.204999924,26.02000046
2009-02-25,26.43000031,13.96000004,23.02000046,24.07999992,29.52000046,41.5,34.04999924,6.368332863,17.18499947,7.760000229,16.79500008,46.70999908,8.390000343,15.31000042,12.60999966,22.68000031,6.186666965,11.63000011,6.349999905,8.489999771,25.52000046
2009-02-26,26.40999985,13.89000034,21.87999916,24.56999969,28.88999939,39.84000015,30.94000053,6.074999809,16.74500084,7.699999809,16.54000092,45.34000015,8.295000076,15.09000015,13.21000004,22.57999992,6.21999979,11.36999989,6.199999809,8.359999657,24.20999908
2009-02-27,26.47999954,13.92000008,21.0233326,24.40999985,28.85000038,38.45000076,30.12999916,5.833333015,16.21500015,7.429999828,16.20499992,44.81000137,8.287500381,15.10000038,12.18000031,21.73999977,5.796667099,11.35999966,6.289999962,8.234999657,23.88999939
2009-03-02,26.75,13.22999954,20.04999924,22.21999931,28.05999947,36.49000168,27.5,5.493332863,15.14500046,7.059999943,15.17000008,41.81000137,8.032500267,14.38000011,11.27000046,20.46999931,5.493332863,11.03999996,5.900000095,7.869999886,22.39999962
2009-03-03,26.73999977,13.31000042,20.17666626,22.37999916,27.86000061,36.29000092,27.5,5.473332882,14.91499996,6.75,14.97000027,41.11999893,8.007499695,13.89000034,11.18000031,20.39999962,5.236667156,10.98999977,5.869999886,7.965000153,22.48999977
2009-03-04,26.59000015,13.61999989,20.57999992,23.92000008,28.44000053,37.24000168,28.47999954,5.611667156,15.26000023,6.900000095,15.35000038,43.11999893,8.232500076,14.47999954,10.75,20.93000031,5.413332939,11.14000034,5.989999771,8.305000305,22.85000038
2009-03-05,26.72999954,13.18999958,19.75333214,22.53000069,27.80999947,35.56999969,26.68000031,5.373332977,14.52499962,6.599999905,14.69999981,40.16999817,7.982500076,14.02999973,9.539999962,19.81999969,4.923333168,10.69999981,5.690000057,8.204999924,21.44000053
2009-03-06,26.60000038,13.07999992,19.92000008,22.61000061,27.87000084,36.34000015,27.25,5.369999886,14.47500038,6.480000019,14.63500023,39.38000107,7.927499771,13.90999985,9.31000042,19.23999977,4.943333149,10.72999954,5.659999847,8.06000042,21.14999962
2009-03-09,26.75,12.77999973,19.68333244,22.87000084,27.38999939,36.34999847,26.75,5.281667233,14.28499985,6.519999981,14.47999954,38.61999893,7.712500095,13.44999981,9.81000042,19.04999924,4.889999866,10.52000046,5.579999924,7.954999924,21.62000084
2009-03-10,26.60000038,13.68999958,20.42666626,24.32999992,29.18000031,37.77000046,28.47999954,5.523333073,15.00500011,7.349999905,15.59500027,41.22000122,8.222499847,14.26000023,11.19999981,21.43000031,5.323332787,10.76000023,5.920000076,8.619999886,24.62999916
2009-03-11,26.30999947,13.97999954,20.07666779,23.92000008,29.62000084,37.40999985,27.76000023,5.503333092,15.02999973,7.320000172,15.71500015,42.15999985,8.432499886,14.40999985,11.64999962,22.28000069,5.346666813,10.68999958,6.039999962,8.755000114,24.22999954
