Date,BIL,TIP,IEI,IEF,TLH,TLT,SHY
2009-01-30,84.66612243652344,68.68512725830078,91.57829284667969,70.1385498046875,79.579345703125,70.16851806640625,72.66716003417969
2009-02-02,84.7177734375,68.93434143066406,92.0183334350586,70.70747375488281,80.60639953613281,71.47404479980469,72.73445892333984
2009-02-03,84.64393615722656,68.68512725830078,91.2620849609375,70.09848022460938,79.64775085449219,69.77177429199219,72.6567153930664
2009-02-04,84.69932556152344,68.54666137695312,91.21382904052734,69.74195098876953,79.27416229248047,69.52763366699219,72.53585052490234
2009-02-05,84.66240692138672,68.470458984375,91.27816009521484,69.90536499023438,79.40806579589844,69.58868408203125,72.55311584472656
2009-02-06,84.53321075439453,68.86510467529297,90.89995574951172,69.48204040527344,78.84414672851562,69.37164306640625,72.510009765625
2009-02-09,84.64393615722656,69.5851821899414,90.77931213378906,69.34091186523438,78.95691680908203,69.59548950195312,72.4840316772461
2009-02-10,84.62545776367188,69.90369415283203,91.55169677734375,70.26933288574219,80.47245788574219,71.10777282714844,72.64813232421875
2009-02-11,84.6070327758789,69.71674346923828,91.63218688964844,70.81145477294922,81.09283447265625,72.03014373779297,72.630859375
2009-02-12,84.6070327758789,69.46746826171875,91.68041229248047,70.7891616821289,80.93070983886719,71.35195922851562,72.71723175048828
2009-02-13,84.68087005615234,69.1766586303711,91.18156433105469,70.232177734375,79.68299102783203,69.45303344726562,72.57902526855469
2009-02-17,84.68087005615234,69.5989990234375,92.03443145751953,71.41310119628906,81.55802917480469,71.61642456054688,72.7690658569336
2009-02-18,84.69932556152344,69.16285705566406,91.5195083618164,70.89314270019531,80.90951538085938,71.00607299804688,72.64813232421875
2009-02-19,84.69932556152344,68.96894836425781,91.38275909423828,70.49955749511719,80.04248809814453,69.79891967773438,72.62223052978516
2009-02-20,84.69932556152344,69.21128845214844,91.57583618164062,70.70008087158203,80.42311096191406,70.47711181640625,72.68265533447266
2009-02-23,84.68087005615234,69.14205169677734,91.4873275756836,70.76686096191406,80.74039459228516,71.12818145751953,72.67403411865234
2009-02-24,84.62545776367188,68.54666137695312,91.29422760009766,70.49955749511719,80.54296112060547,71.05353546142578,72.62223052978516
2009-02-25,84.5886001586914,68.13806915283203,90.81953430175781,69.86080169677734,79.85919952392578,70.2329330444336,72.4840316772461
2009-02-26,84.6070327758789,67.59110260009766,90.68280792236328,69.68254852294922,79.35171508789062,69.49371337890625,72.5185775756836
2009-02-27,84.66240692138672,67.17566680908203,90.99653625488281,69.62310791015625,78.99918365478516,69.09361267089844,72.56178283691406
2009-03-02,84.71224212646484,67.5980453491211,91.58987426757812,70.3216552734375,79.99942016601562,70.23748016357422,72.72525024414062
2009-03-03,84.69378662109375,67.44570922851562,91.46089935302734,70.23226165771484,79.57537078857422,69.76821899414062,72.66468048095703
2009-03-04,84.69378662109375,67.31417083740234,91.18682861328125,69.8747787475586,79.27140045166016,69.44860076904297,72.58683776855469
2009-03-05,84.71224212646484,67.93727111816406,91.67050170898438,70.69398498535156,81.03155517578125,71.3799819946289,72.67334747314453
2009-03-06,84.69378662109375,67.48724365234375,91.40446472167969,70.35887908935547,80.45893859863281,70.90394592285156,72.6214828491211
2009-03-09,84.69378662109375,67.23106384277344,91.34000396728516,70.3886489868164,80.27518463134766,70.48915100097656,72.55226135253906
2009-03-10,84.69378662109375,66.80176544189453,90.94493103027344,69.8747787475586,79.39154815673828,69.1357650756836,72.50909423828125
2009-03-11,84.69378662109375,67.1341323852539,91.07391357421875,70.37379455566406,80.1550521850586,69.88384246826172,72.54359436035156
2009-03-12,84.65686798095703,68.15194702148438,91.22711181640625,70.5748291015625,80.4094467163086,70.21707916259766,72.56953430175781
2009-03-13,84.63839721679688,68.1312026977539,91.46895599365234,70.52266693115234,80.43773651123047,69.8634262084961,72.63009643554688
2009-03-16,84.61996459960938,68.06192016601562,91.12229919433594,70.12055969238281,79.92878723144531,68.76171112060547,72.53495788574219
2009-03-17,84.67530822753906,67.99270629882812,90.9126968383789,69.98650360107422,79.47637939453125,68.38768768310547,72.51766967773438
2009-03-18,84.69378662109375,70.50605010986328,92.58955383300781,72.38445281982422,83.0179214477539,70.97872161865234,72.7944107055664
2009-03-19,84.63839721679688,70.83150482177734,92.35575103759766,72.13872528076172,83.03209686279297,71.06713104248047,72.70791625976562
2009-03-20,84.67530822753906,70.4784164428711,92.32352447509766,72.13872528076172,82.56549835205078,70.67269134521484,72.7944107055664
2009-03-23,84.69378662109375,70.46453857421875,92.16226959228516,71.89295959472656,82.28276824951172,70.0606689453125,72.73390197753906
2009-03-24,84.67530822753906,70.8661117553711,92.07359313964844,71.7886962890625,82.00001525878906,70.72714233398438,72.63873291015625
2009-03-25,84.71224212646484,70.76224517822266,91.83979034423828,71.35672760009766,81.77375793457031,69.77507019042969,72.6214828491211
2009-03-26,84.69378662109375,71.55155944824219,92.05750274658203,71.54293060302734,82.15553283691406,70.58428955078125,72.71662139892578
2009-03-27,84.71224212646484,71.37155151367188,92.06556701660156,71.4982681274414,82.4382553100586,71.10794067382812,72.75116729736328
2009-03-30,84.69378662109375,71.50312042236328,92.25904083251953,71.8035659790039,82.70693969726562,71.3799819946289,72.8204116821289
2009-03-31,84.65686798095703,71.14303588867188,92.59762573242188,71.93016052246094,82.88358306884766,71.89005279541016,72.92413330078125
2009-04-01,84.67163848876953,71.39627838134766,92.68328094482422,72.1064224243164,83.47076416015625,72.54612731933594,72.90771484375
2009-04-02,84.61627197265625,70.95805358886719,92.30355834960938,71.63591766357422,82.77580261230469,71.65958404541016,72.786376953125
